design,version,W,n,cls,frac_absent
simple,v6,5,100,Wetland,0.0
simple,v6,5,100,Beaver,0.0
simple,v6,5,100,Insect/Disease,0.0
strat,v6,5,100,Harvest,0.0
strat,v6,5,100,Development,0.0
strat,v6,5,100,Forest,0.0
strat,v6,5,100,Urban,0.0
strat,v6,5,100,Water,0.0
strat,v6,5,100,Agriculture,0.0
strat,v6,5,100,Grass/Shrub,0.0
strat,v6,5,100,Wetland,0.0
strat,v6,5,100,Beaver,0.0
strat,v6,5,100,Insect/Disease,0.0
simple,v6,5,200,Harvest,0.0
simple,v6,5,200,Development,0.0
simple,v6,5,200,Forest,0.0
simple,v6,5,200,Urban,0.0
simple,v6,5,200,Water,0.0
simple,v6,5,200,Agriculture,0.0
simple,v6,5,200,Grass/Shrub,0.0
simple,v6,5,200,Wetland,0.0
simple,v6,5,200,Beaver,0.0
simple,v6,5,200,Insect/Disease,0.0
strat,v6,5,200,Harvest,0.0
strat,v6,5,200,Development,0.0
strat,v6,5,200,Forest,0.0
strat,v6,5,200,Urban,0.0
strat,v6,5,200,Water,0.0
strat,v6,5,200,Agriculture,0.0
strat,v6,5,200,Grass/Shrub,0.0
strat,v6,5,200,Wetland,0.0
strat,v6,5,200,Beaver,0.0
strat,v6,5,200,Insect/Disease,0.0
simple,v6,5,500,Harvest,0.0
simple,v6,5,500,Development,0.0
simple,v6,5,500,Forest,0.0
simple,v6,5,500,Urban,0.0
simple,v6,5,500,Water,0.0
simple,v6,5,500,Agriculture,0.0
simple,v6,5,500,Grass/Shrub,0.0
simple,v6,5,500,Wetland,0.0
simple,v6,5,500,Beaver,0.0
simple,v6,5,500,Insect/Disease,0.0
strat,v6,5,500,Harvest,0.0
strat,v6,5,500,Development,0.0
strat,v6,5,500,Forest,0.0
strat,v6,5,500,Urban,0.0
strat,v6,5,500,Water,0.0
strat,v6,5,500,Agriculture,0.0
strat,v6,5,500,Grass/Shrub,0.0
strat,v6,5,500,Wetland,0.0
strat,v6,5,500,Beaver,0.0
strat,v6,5,500,Insect/Disease,0.0
simple,v6,5,1000,Harvest,0.0
simple,v6,5,1000,Development,0.0
simple,v6,5,1000,Forest,0.0
simple,v6,5,1000,Urban,0.0
simple,v6,5,1000,Water,0.0
simple,v6,5,1000,Agriculture,0.0
simple,v6,5,1000,Grass/Shrub,0.0
simple,v6,5,1000,Wetland,0.0
simple,v6,5,1000,Beaver,0.0
simple,v6,5,1000,Insect/Disease,0.0
strat,v6,5,1000,Harvest,0.0
strat,v6,5,1000,Development,0.0
strat,v6,5,1000,Forest,0.0
strat,v6,5,1000,Urban,0.0
strat,v6,5,1000,Water,0.0
strat,v6,5,1000,Agriculture,0.0
strat,v6,5,1000,Grass/Shrub,0.0
strat,v6,5,1000,Wetland,0.0
strat,v6,5,1000,Beaver,0.0
strat,v6,5,1000,Insect/Disease,0.0
simple,v6,5,2000,Harvest,0.0
simple,v6,5,2000,Development,0.0
simple,v6,5,2000,Forest,0.0
simple,v6,5,2000,Urban,0.0
simple,v6,5,2000,Water,0.0
simple,v6,5,2000,Agriculture,0.0
simple,v6,5,2000,Grass/Shrub,0.0
simple,v6,5,2000,Wetland,0.0
simple,v6,5,2000,Beaver,0.0
simple,v6,5,2000,Insect/Disease,0.0
strat,v6,5,2000,Harvest,0.0
strat,v6,5,2000,Development,0.0
strat,v6,5,2000,Forest,0.0
strat,v6,5,2000,Urban,0.0
strat,v6,5,2000,Water,0.0
strat,v6,5,2000,Agriculture,0.0
strat,v6,5,2000,Grass/Shrub,0.0
strat,v6,5,2000,Wetland,0.0
strat,v6,5,2000,Beaver,0.0
strat,v6,5,2000,Insect/Disease,0.0
simple,v6,5,5000,Harvest,0.0
simple,v6,5,5000,Development,0.0
simple,v6,5,5000,Forest,0.0
simple,v6,5,5000,Urban,0.0
simple,v6,5,5000,Water,0.0
simple,v6,5,5000,Agriculture,0.0
simple,v6,5,5000,Grass/Shrub,0.0
simple,v6,5,5000,Wetland,0.0
simple,v6,5,5000,Beaver,0.0
simple,v6,5,5000,Insect/Disease,0.0
strat,v6,5,5000,Harvest,0.0
strat,v6,5,5000,Development,0.0
strat,v6,5,5000,Forest,0.0
strat,v6,5,5000,Urban,0.0
strat,v6,5,5000,Water,0.0
strat,v6,5,5000,Agriculture,0.0
strat,v6,5,5000,Grass/Shrub,0.0
strat,v6,5,5000,Wetland,0.0
strat,v6,5,5000,Beaver,0.0
strat,v6,5,5000,Insect/Disease,0.0
simple,v6,7,20,Harvest,0.0
simple,v6,7,20,Development,0.0
simple,v6,7,20,Forest,0.0
simple,v6,7,20,Urban,0.0
simple,v6,7,20,Water,0.0
simple,v6,7,20,Agriculture,0.0
simple,v6,7,20,Grass/Shrub,0.0
simple,v6,7,20,Wetland,0.0
simple,v6,7,20,Beaver,0.0
simple,v6,7,20,Insect/Disease,0.0
strat,v6,7,20,Harvest,0.0
strat,v6,7,20,Development,0.0
strat,v6,7,20,Forest,0.0
strat,v6,7,20,Urban,0.0
strat,v6,7,20,Water,0.0
strat,v6,7,20,Agriculture,0.0
strat,v6,7,20,Grass/Shrub,0.0
strat,v6,7,20,Wetland,0.0
strat,v6,7,20,Beaver,0.0
strat,v6,7,20,Insect/Disease,0.0
simple,v6,7,50,Harvest,0.0
simple,v6,7,50,Development,0.0
simple,v6,7,50,Forest,0.0
simple,v6,7,50,Urban,0.0
simple,v6,7,50,Water,0.0
simple,v6,7,50,Agriculture,0.0
simple,v6,7,50,Grass/Shrub,0.0
simple,v6,7,50,Wetland,0.0
simple,v6,7,50,Beaver,0.0
simple,v6,7,50,Insect/Disease,0.0
strat,v6,7,50,Harvest,0.0
strat,v6,7,50,Development,0.0
strat,v6,7,50,Forest,0.0
strat,v6,7,50,Urban,0.0
strat,v6,7,50,Water,0.0
strat,v6,7,50,Agriculture,0.0
strat,v6,7,50,Grass/Shrub,0.0
strat,v6,7,50,Wetland,0.0
strat,v6,7,50,Beaver,0.0
strat,v6,7,50,Insect/Disease,0.0
simple,v6,7,100,Harvest,0.0
simple,v6,7,100,Development,0.0
simple,v6,7,100,Forest,0.0
simple,v6,7,100,Urban,0.0
simple,v6,7,100,Water,0.0
simple,v6,7,100,Agriculture,0.0
simple,v6,7,100,Grass/Shrub,0.0
simple,v6,7,100,Wetland,0.0
simple,v6,7,100,Beaver,0.0
simple,v6,7,100,Insect/Disease,0.0
strat,v6,7,100,Harvest,0.0
strat,v6,7,100,Development,0.0
strat,v6,7,100,Forest,0.0
strat,v6,7,100,Urban,0.0
strat,v6,7,100,Water,0.0
strat,v6,7,100,Agriculture,0.0
strat,v6,7,100,Grass/Shrub,0.0
strat,v6,7,100,Wetland,0.0
strat,v6,7,100,Beaver,0.0
strat,v6,7,100,Insect/Disease,0.0
simple,v6,7,200,Harvest,0.0
simple,v6,7,200,Development,0.0
simple,v6,7,200,Forest,0.0
simple,v6,7,200,Urban,0.0
simple,v6,7,200,Water,0.0
simple,v6,7,200,Agriculture,0.0
simple,v6,7,200,Grass/Shrub,0.0
simple,v6,7,200,Wetland,0.0
simple,v6,7,200,Beaver,0.0
simple,v6,7,200,Insect/Disease,0.0
strat,v6,7,200,Harvest,0.0
strat,v6,7,200,Development,0.0
strat,v6,7,200,Forest,0.0
strat,v6,7,200,Urban,0.0
strat,v6,7,200,Water,0.0
strat,v6,7,200,Agriculture,0.0
strat,v6,7,200,Grass/Shrub,0.0
strat,v6,7,200,Wetland,0.0
strat,v6,7,200,Beaver,0.0
strat,v6,7,200,Insect/Disease,0.0
simple,v6,7,500,Harvest,0.0
simple,v6,7,500,Development,0.0
simple,v6,7,500,Forest,0.0
simple,v6,7,500,Urban,0.0
simple,v6,7,500,Water,0.0
simple,v6,7,500,Agriculture,0.0
simple,v6,7,500,Grass/Shrub,0.0
simple,v6,7,500,Wetland,0.0
simple,v6,7,500,Beaver,0.0
simple,v6,7,500,Insect/Disease,0.0
strat,v6,7,500,Harvest,0.0
strat,v6,7,500,Development,0.0
strat,v6,7,500,Forest,0.0
strat,v6,7,500,Urban,0.0
strat,v6,7,500,Water,0.0
strat,v6,7,500,Agriculture,0.0
strat,v6,7,500,Grass/Shrub,0.0
strat,v6,7,500,Wetland,0.0
strat,v6,7,500,Beaver,0.0
strat,v6,7,500,Insect/Disease,0.0
simple,v6,7,1000,Harvest,0.0
simple,v6,7,1000,Development,0.0
simple,v6,7,1000,Forest,0.0
simple,v6,7,1000,Urban,0.0
simple,v6,7,1000,Water,0.0
simple,v6,7,1000,Agriculture,0.0
simple,v6,7,1000,Grass/Shrub,0.0
simple,v6,7,1000,Wetland,0.0
simple,v6,7,1000,Beaver,0.0
simple,v6,7,1000,Insect/Disease,0.0
strat,v6,7,1000,Harvest,0.0
strat,v6,7,1000,Development,0.0
strat,v6,7,1000,Forest,0.0
strat,v6,7,1000,Urban,0.0
strat,v6,7,1000,Water,0.0
strat,v6,7,1000,Agriculture,0.0
strat,v6,7,1000,Grass/Shrub,0.0
strat,v6,7,1000,Wetland,0.0
strat,v6,7,1000,Beaver,0.0
strat,v6,7,1000,Insect/Disease,0.0
simple,v6,7,2000,Harvest,0.0
simple,v6,7,2000,Development,0.0
simple,v6,7,2000,Forest,0.0
simple,v6,7,2000,Urban,0.0
simple,v6,7,2000,Water,0.0
simple,v6,7,2000,Agriculture,0.0
simple,v6,7,2000,Grass/Shrub,0.0
simple,v6,7,2000,Wetland,0.0
simple,v6,7,2000,Beaver,0.0
simple,v6,7,2000,Insect/Disease,0.0
strat,v6,7,2000,Harvest,0.0
strat,v6,7,2000,Development,0.0
strat,v6,7,2000,Forest,0.0
strat,v6,7,2000,Urban,0.0
strat,v6,7,2000,Water,0.0
strat,v6,7,2000,Agriculture,0.0
strat,v6,7,2000,Grass/Shrub,0.0
strat,v6,7,2000,Wetland,0.0
strat,v6,7,2000,Beaver,0.0
strat,v6,7,2000,Insect/Disease,0.0
simple,v6,7,5000,Harvest,0.0
simple,v6,7,5000,Development,0.0
simple,v6,7,5000,Forest,0.0
simple,v6,7,5000,Urban,0.0
simple,v6,7,5000,Water,0.0
simple,v6,7,5000,Agriculture,0.0
simple,v6,7,5000,Grass/Shrub,0.0
simple,v6,7,5000,Wetland,0.0
simple,v6,7,5000,Beaver,0.0
simple,v6,7,5000,Insect/Disease,0.0
strat,v6,7,5000,Harvest,0.0
strat,v6,7,5000,Development,0.0
strat,v6,7,5000,Forest,0.0
strat,v6,7,5000,Urban,0.0
strat,v6,7,5000,Water,0.0
strat,v6,7,5000,Agriculture,0.0
strat,v6,7,5000,Grass/Shrub,0.0
strat,v6,7,5000,Wetland,0.0
strat,v6,7,5000,Beaver,0.0
strat,v6,7,5000,Insect/Disease,0.0
simple,v6,9,20,Harvest,0.0
simple,v6,9,20,Development,0.0
simple,v6,9,20,Forest,0.0
simple,v6,9,20,Urban,0.0
simple,v6,9,20,Water,0.0
simple,v6,9,20,Agriculture,0.0
simple,v6,9,20,Grass/Shrub,0.0
simple,v6,9,20,Wetland,0.0
simple,v6,9,20,Beaver,0.0
simple,v6,9,20,Insect/Disease,0.0
strat,v6,9,20,Harvest,0.0
strat,v6,9,20,Development,0.0
strat,v6,9,20,Forest,0.0
strat,v6,9,20,Urban,0.0
strat,v6,9,20,Water,0.0
strat,v6,9,20,Agriculture,0.0
strat,v6,9,20,Grass/Shrub,0.0
strat,v6,9,20,Wetland,0.0
strat,v6,9,20,Beaver,0.0
strat,v6,9,20,Insect/Disease,0.0
simple,v6,9,50,Harvest,0.0
simple,v6,9,50,Development,0.0
simple,v6,9,50,Forest,0.0
simple,v6,9,50,Urban,0.0
simple,v6,9,50,Water,0.0
simple,v6,9,50,Agriculture,0.0
simple,v6,9,50,Grass/Shrub,0.0
simple,v6,9,50,Wetland,0.0
simple,v6,9,50,Beaver,0.0
simple,v6,9,50,Insect/Disease,0.0
strat,v6,9,50,Harvest,0.0
strat,v6,9,50,Development,0.0
strat,v6,9,50,Forest,0.0
strat,v6,9,50,Urban,0.0
strat,v6,9,50,Water,0.0
strat,v6,9,50,Agriculture,0.0
strat,v6,9,50,Grass/Shrub,0.0
strat,v6,9,50,Wetland,0.0
strat,v6,9,50,Beaver,0.0
strat,v6,9,50,Insect/Disease,0.0
simple,v6,9,100,Harvest,0.0
simple,v6,9,100,Development,0.0
simple,v6,9,100,Forest,0.0
simple,v6,9,100,Urban,0.0
simple,v6,9,100,Water,0.0
simple,v6,9,100,Agriculture,0.0
simple,v6,9,100,Grass/Shrub,0.0
simple,v6,9,100,Wetland,0.0
simple,v6,9,100,Beaver,0.0
simple,v6,9,100,Insect/Disease,0.0
strat,v6,9,100,Harvest,0.0
strat,v6,9,100,Development,0.0
strat,v6,9,100,Forest,0.0
strat,v6,9,100,Urban,0.0
strat,v6,9,100,Water,0.0
strat,v6,9,100,Agriculture,0.0
strat,v6,9,100,Grass/Shrub,0.0
strat,v6,9,100,Wetland,0.0
strat,v6,9,100,Beaver,0.0
strat,v6,9,100,Insect/Disease,0.0
simple,v6,9,200,Harvest,0.0
simple,v6,9,200,Development,0.0
simple,v6,9,200,Forest,0.0
simple,v6,9,200,Urban,0.0
simple,v6,9,200,Water,0.0
simple,v6,9,200,Agriculture,0.0
simple,v6,9,200,Grass/Shrub,0.0
simple,v6,9,200,Wetland,0.0
simple,v6,9,200,Beaver,0.0
simple,v6,9,200,Insect/Disease,0.0
strat,v6,9,200,Harvest,0.0
strat,v6,9,200,Development,0.0
strat,v6,9,200,Forest,0.0
strat,v6,9,200,Urban,0.0
strat,v6,9,200,Water,0.0
strat,v6,9,200,Agriculture,0.0
strat,v6,9,200,Grass/Shrub,0.0
strat,v6,9,200,Wetland,0.0
strat,v6,9,200,Beaver,0.0
strat,v6,9,200,Insect/Disease,0.0
simple,v6,9,500,Harvest,0.0
simple,v6,9,500,Development,0.0
simple,v6,9,500,Forest,0.0
simple,v6,9,500,Urban,0.0
simple,v6,9,500,Water,0.0
simple,v6,9,500,Agriculture,0.0
simple,v6,9,500,Grass/Shrub,0.0
simple,v6,9,500,Wetland,0.0
simple,v6,9,500,Beaver,0.0
simple,v6,9,500,Insect/Disease,0.0
strat,v6,9,500,Harvest,0.0
strat,v6,9,500,Development,0.0
strat,v6,9,500,Forest,0.0
strat,v6,9,500,Urban,0.0
strat,v6,9,500,Water,0.0
strat,v6,9,500,Agriculture,0.0
strat,v6,9,500,Grass/Shrub,0.0
strat,v6,9,500,Wetland,0.0
strat,v6,9,500,Beaver,0.0
strat,v6,9,500,Insect/Disease,0.0
simple,v6,9,1000,Harvest,0.0
simple,v6,9,1000,Development,0.0
simple,v6,9,1000,Forest,0.0
simple,v6,9,1000,Urban,0.0
simple,v6,9,1000,Water,0.0
simple,v6,9,1000,Agriculture,0.0
simple,v6,9,1000,Grass/Shrub,0.0
simple,v6,9,1000,Wetland,0.0
simple,v6,9,1000,Beaver,0.0
simple,v6,9,1000,Insect/Disease,0.0
strat,v6,9,1000,Harvest,0.0
strat,v6,9,1000,Development,0.0
strat,v6,9,1000,Forest,0.0
strat,v6,9,1000,Urban,0.0
strat,v6,9,1000,Water,0.0
strat,v6,9,1000,Agriculture,0.0
strat,v6,9,1000,Grass/Shrub,0.0
strat,v6,9,1000,Wetland,0.0
strat,v6,9,1000,Beaver,0.0
strat,v6,9,1000,Insect/Disease,0.0
simple,v6,9,2000,Harvest,0.0
simple,v6,9,2000,Development,0.0
simple,v6,9,2000,Forest,0.0
simple,v6,9,2000,Urban,0.0
simple,v6,9,2000,Water,0.0
simple,v6,9,2000,Agriculture,0.0
simple,v6,9,2000,Grass/Shrub,0.0
simple,v6,9,2000,Wetland,0.0
simple,v6,9,2000,Beaver,0.0
simple,v6,9,2000,Insect/Disease,0.0
strat,v6,9,2000,Harvest,0.0
strat,v6,9,2000,Development,0.0
strat,v6,9,2000,Forest,0.0
strat,v6,9,2000,Urban,0.0
strat,v6,9,2000,Water,0.0
strat,v6,9,2000,Agriculture,0.0
strat,v6,9,2000,Grass/Shrub,0.0
strat,v6,9,2000,Wetland,0.0
strat,v6,9,2000,Beaver,0.0
strat,v6,9,2000,Insect/Disease,0.0
simple,v6,9,5000,Harvest,0.0
simple,v6,9,5000,Development,0.0
simple,v6,9,5000,Forest,0.0
simple,v6,9,5000,Urban,0.0
simple,v6,9,5000,Water,0.0
simple,v6,9,5000,Agriculture,0.0
simple,v6,9,5000,Grass/Shrub,0.0
simple,v6,9,5000,Wetland,0.0
simple,v6,9,5000,Beaver,0.0
simple,v6,9,5000,Insect/Disease,0.0
strat,v6,9,5000,Harvest,0.0
strat,v6,9,5000,Development,0.0
strat,v6,9,5000,Forest,0.0
strat,v6,9,5000,Urban,0.0
strat,v6,9,5000,Water,0.0
strat,v6,9,5000,Agriculture,0.0
strat,v6,9,5000,Grass/Shrub,0.0
strat,v6,9,5000,Wetland,0.0
strat,v6,9,5000,Beaver,0.0
strat,v6,9,5000,Insect/Disease,0.0
